dataset,threshold,n_pairs,base_rate,n_flagged,n_related,n_both,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,sign_agreement_flagged,p_at_5_abs,n_queries_with_relevant
pilot_holdout,0.3,5448,0.2977239353891336,1295,1622,956,0.7382239382239382,0.7139438785908827,0.7619429594332737,0.5893958076448829,0.5637817010379348,0.6131395602954675,0.9976833976833976,0.7490909090909091,110
pilot_holdout,0.4,5448,0.15161527165932454,657,826,453,0.6894977168949772,0.6537204698621563,0.7249656205923836,0.5484261501210653,0.5139702844235777,0.5816474211105924,1.0,0.7490909090909091,110
pilot_holdout,0.5,5448,0.06809838472834068,269,371,187,0.6951672862453532,0.6393975179584649,0.7490497856766494,0.5040431266846361,0.45160866988400644,0.5549303326662387,1.0,0.7490909090909091,110
validation_prolific,0.3,2949,0.22617836554764326,288,667,234,0.8125,0.7651199472572344,0.8580875640755564,0.35082458770614694,0.31239804810775595,0.38554361445783136,1.0,0.6730769230769229,52
validation_prolific,0.4,2949,0.11258053577483892,124,332,106,0.8548387096774194,0.7916666666666666,0.9122839031886284,0.3192771084337349,0.27138530649687026,0.37110633657171654,1.0,0.6730769230769229,52
validation_prolific,0.5,2949,0.054933875890132246,47,162,39,0.8297872340425532,0.7090719696969697,0.9285714285714286,0.24074074074074073,0.1768697112991538,0.30864197530864196,1.0,0.6730769230769229,52
